date,region,class,special,runoff,offyear,disabled,candidate,party,voteshare
01/11/1999,Hawaii,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Hawaii,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Idaho,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.182
01/11/1999,Idaho,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Illinois,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.119
01/11/1999,Illinois,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Indiana,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Indiana,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Iowa,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.012
01/11/1999,Iowa,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Kansas,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.096
01/11/1999,Kansas,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Kentucky,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.182
01/11/1999,Kentucky,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.011
01/11/1999,Louisiana,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.138
01/11/1999,Louisiana,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Maine,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Maine,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.009
01/11/1999,Maryland,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Maryland,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Massachusetts,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Massachusetts,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.199
01/11/1999,Michigan,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Michigan,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.392
01/11/1999,Minnesota,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Minnesota,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.192
01/11/1999,Mississippi,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Mississippi,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.082
01/11/1999,Missouri,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Missouri,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Montana,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Montana,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.082
01/11/1999,Nebraska,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Nebraska,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.023
01/11/1999,Nevada,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Nevada,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,New Hampshire,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.028
01/11/1999,New Hampshire,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,New Jersey,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,New Jersey,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.082
01/11/1999,New Mexico,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,New Mexico,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.149
01/11/1999,New York,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,New York,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,North Carolina,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.018
01/11/1999,North Carolina,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,North Dakota,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,North Dakota,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Ohio,3,TRUE,FALSE,FALSE,FALSE,Republican,REP,0.103
01/11/1999,Ohio,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Oklahoma,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.358
01/11/1999,Oklahoma,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Oregon,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.249
01/11/1999,Oregon,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Pennsylvania,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Pennsylvania,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Rhode Island,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Rhode Island,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.286
01/11/1999,South Carolina,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.016
01/11/1999,South Carolina,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,South Dakota,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.236
01/11/1999,South Dakota,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Tennessee,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Tennessee,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.012
01/11/1999,Texas,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Texas,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.009
01/11/1999,Utah,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Utah,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Vermont,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Vermont,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Virginia,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Virginia,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.041
01/11/1999,Washington,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Washington,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,West Virginia,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,West Virginia,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.388
01/11/1999,Wisconsin,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Wisconsin,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Wyoming,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Wyoming,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.385
01/11/2001,Alabama,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Alabama,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.118
01/11/2001,Alaska,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Alaska,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.023
01/11/2001,Arizona,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Arizona,3,TRUE,FALSE,FALSE,FALSE,Democratic,DEM,0.057
01/11/2001,Arkansas,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Arkansas,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.118
01/11/2001,California,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,California,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.449
01/11/2001,Colorado,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Colorado,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.033
01/11/2001,Connecticut,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Connecticut,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.228
01/11/2001,Delaware,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Delaware,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Florida,3,TRUE,FALSE,FALSE,FALSE,Democratic,DEM,0.117
01/11/2001,Florida,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Georgia,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Georgia,3,TRUE,FALSE,FALSE,FALSE,Democratic,DEM,0.034
01/11/2001,Hawaii,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Hawaii,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.582
01/11/2001,Idaho,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Idaho,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.193
01/11/2001,Illinois,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Illinois,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.095
01/11/2001,Indiana,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Indiana,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.058
01/11/2001,Iowa,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Iowa,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.078
01/11/2001,Kansas,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Kansas,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.046
01/11/2001,Kentucky,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Kentucky,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.194
01/11/2001,Louisiana,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Louisiana,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.012
01/11/2001,Maine,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Maine,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Maryland,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Maryland,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.449
01/11/2001,Massachusetts,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Massachusetts,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Michigan,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Michigan,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Minnesota,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Minnesota,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Mississippi,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Mississippi,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Missouri,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Missouri,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.077
01/11/2001,Montana,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Montana,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Nebraska,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Nebraska,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Nevada,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Nevada,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.048
01/11/2001,New Hampshire,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,New Hampshire,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.127
01/11/2001,New Jersey,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,New Jersey,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,New Mexico,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,New Mexico,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,New York,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,New York,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.383
01/11/2001,North Carolina,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,North Carolina,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.0134
01/11/2001,North Dakota,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,North Dakota,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.033
01/11/2001,Ohio,3,TRUE,FALSE,FALSE,FALSE,Republican,REP,0.008
01/11/2001,Ohio,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Oklahoma,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Oklahoma,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.149
01/11/2001,Oregon,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Oregon,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.339
01/11/2001,Pennsylvania,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Pennsylvania,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.007
01/11/2001,Rhode Island,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Rhode Island,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,South Carolina,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,South Carolina,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.009
01/11/2001,South Dakota,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,South Dakota,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.019
01/11/2001,Tennessee,1,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.018
01/11/2001,Tennessee,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Texas,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Texas,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Utah,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Utah,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.393
01/11/2001,Vermont,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Vermont,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.997
01/11/2001,Virginia,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Virginia,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Washington,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Washington,3,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.172
01/11/2001,West Virginia,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,West Virginia,2,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Wisconsin,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/2001,Wisconsin,3,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.192
01/11/2001,Wyoming,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/2001,Wyoming,2,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
